id,rank
1,3
2,55
3,52
4,26
5,66
6,54
7,34
8,88
9,8
10,84
11,79
12,1
13,22
14,16
15,67
16,36
17,24
18,14
19,80
20,71
21,73
22,45
23,23
24,72
25,70
26,83
27,60
28,27
29,87
30,64
31,81
32,86
33,90
34,78
35,32
36,42
37,46
38,21
39,39
40,75
41,7
42,38
43,4
44,51
45,58
46,13
47,77
48,62
49,49
50,18
51,6
52,65
53,43
54,28
55,35
56,9
57,63
58,47
59,85
60,69
61,10
62,12
63,33
64,11
65,61
66,82
67,17
68,76
69,41
70,68
71,29
72,30
73,37
74,40
75,19
76,57
77,89
78,74
79,15
80,91
81,59
82,50
83,56
84,25
85,44
86,48
87,2
88,53
89,5
90,20
91,31
