id,rank
43,1
89,2
87,3
12,4
41,5
18,6
51,7
9,8
56,9
1,10
61,11
64,12
79,13
46,14
67,15
50,16
62,17
23,18
13,19
38,20
14,21
90,22
84,23
4,24
75,25
55,26
54,27
74,28
17,29
63,30
7,31
28,32
72,33
71,34
91,35
42,36
39,37
16,38
58,39
53,40
35,41
49,42
69,43
86,44
73,45
22,46
36,47
82,48
6,49
3,50
37,51
85,52
2,53
5,54
44,55
76,56
45,57
88,58
27,59
81,60
52,61
48,62
83,63
65,64
70,65
20,66
57,67
24,68
34,69
19,70
40,71
15,72
30,73
60,74
66,75
21,76
25,77
10,78
68,79
47,80
8,81
31,82
33,83
59,84
11,85
78,86
26,87
32,88
77,89
29,90
80,91
